Name,Serving,Calories,Fat,Carbs,Proteins
Acai Super-Antioxidant Smoothie (Large),1 serving,550,7g,111g,10g
Acai Super-Antioxidant Smoothie (Small),1 serving,330,4g,67g,6g
Acai Superfruit Packs,1 pack (100 g),100,3.5g,15g,1g
Acai Strawberry Samba,8 fl oz  (240 ml),160,3g,33g,1g
Acapulco Ole,1 dinner,640,34g,68g,18g
Achaar Carrot Pickle,1 tbsp (16 g),25,2g,2g,0g
Accel Gel,1 pack (37 g),100,0g,20g,5g
Acapulco Fajita Beef Skillet,1 serving,581,35g,29g,39g
Accelerade Advanced Sports Drink,1 scoop (31 g),120,1g,21g,5g
Access Chocolate Slam,2 scoops (36 g),150,5g,22g,7g
Access Mint Chocolate Bar,1 bar (30 g),120,4g,20g,2g
Accidental Fish & Shrimp,1 plate,740,7g,57g,44g
Accelerate,1 tablet,0,0g,0g,0g
Access Chocolate Raspberry Rush,1 bar (30 g),120,6g,19g,2g
Aceto Balsamico Di Modena,1 tbsp (15 ml),40,0g,9g,0g
Acai Pomegranate & Blueberry Green Tea,1 tea bag,0,0g,0g,0g
Açaí Twist,1 cup  (196.3 g),159,2g,24g,11g
Acapulco Lime Plantain Chips,1 oz (28 g),150,9g,17g,1g
Acai Yogurt Swirl,1 serving (12 oz),340,1g,82g,5g
Access Chocolate Caramel Kruncher Bar,1 bar (1.05 oz),130,5g,20g,2g
Ace Cracker,5 crackers (24 g),130,7g,15g,2g
Access Chocolate Coconut Kraze Bar,1 bar (30 g),130,6g,19g,2g
Achappam,1 piece (20 g),90,3g,15g,1g
Access Chocolate Peanut Butter Krisp Bar,1 bar (30 g),130,6g,18g,3g
Acqua Pana Spring Natural Water (Catering),1 serving,0,0g,0g,0g
Ackee,2/3 cup (105 g),160,15g,4g,3g
Acqua Panna,1 serving,0,0g,0g,0g
Acorn Squash,1 cup cubes (140 g),60,0g,15g,1g
Acidophilus Yogurt,1 cup (227 g),140,8g,10g,8g
Ackawi Cheese,1 oz (28 g),80,7g,0g,6g
Achieve Protein Bar Chocolate Chip Cookie Dough,1 bar (62 g),230,10g,24g,20g
Acorn Squash,2/3 cup,45,0g,11g,1g
Achiote Roasted Chicken,1 container (283 g),270,6g,40g,17g
Ackee & Saltfish,1/2 cup,230,22g,7g,1g
Ackees,1 serving (100 g),140,9g,11g,4g
Activate,1 packet (10 g),22,0g,6g,0g
Activate Daily Jumpstart,1 tsp (2.5 g),10,0g,2g,0g
Actimel,100 g,76,1.5g,12g,2.8g
Acini Di Pepe,1/4 cup (56 g),200,1g,41g,7g
Achiras,1 package  (25 g),125,6.6g,11.3g,5g
Activate,1 packet (9 g),35,0g,7g,1g
Acheta Protein Powder,2 tbsp (11 g),50,3g,1g,7g
Acini de Pepe,1/3 cup dry (56 g),210,1g,42g,7g
Ackee in Brine,2 oz (56 g),81,7g,3g,1.5g
Active Low Fat Yogurt Vanilla,4 oz (113 g),110,1g,22g,4g
Active Lifestyle Peach Smoothie,1 bottle (7 oz),200,2.5g,37g,6g
Adam's Peanut Butter Cup Fudge Ripple,1 serving,1250,82g,118g,18g
Adabolic,1 rounded scoop (37 g),60,0g,12g,0g
Active Fiber Complex,1 scoop (8 g),30,0g,8g,0g
Active Lifestyle Yogurt - Strawberry,1 container (6 oz),80,0g,12g,7g
Active Lifestyle Yogurt - Blueberry,1 container (6 oz),80,0g,12g,7g
Active,2 fl oz (60 ml),50,0.5g,10g,1g
Active Whey Protein Vanilla,1 scoop (33 g),130,2.5g,2g,24g
Activated Superfood Cereal Blueberry Blast,1 serving (30 g),107,4g,17g,2g
Active Packs Ham & Cheese Wrap,1 pack,310,11g,40g,13g
Activate-C,1 scoop (5 g),15,0g,3g,0g
Active Protein,2 scoops,200,4g,10g,30g
Activated Superfood Popcorn,3 cupt (28 g),136,8g,16g,3g
Active Lifestyle Drink Mix - Raspberry Lemonade with Fiber,1 packet (8.5 g),10,0g,7g,0g
Active Whey Protein Chocolate,1 scoop (35 g),140,3g,3g,24g
Active Dry Yeast,1/4 tsp (0.8 g),0,0g,0g,0g
Active Immunity Gummies,3 gummies,20,0g,5g,0g
Active Lifestyle Almond & Cranberry Instant Oatmeal,1 pouch (45 g),170,3.5g,27g,8g
Adai,1 piece (3.5 oz),268,5g,29g,7g
Add 4 oz Center Cut Sirloin,1 serving (4 oz),280,14g,0g,39g
Add 5 Lobster Bites (No Sauce),1 serving,200,14g,12g,5g
Add Ancho Salmon,1 serving,370,21g,4g,41g
Add A Shrimp Skewer,1 serving,124,6g,1g,16g
Add American Cheese 12-Inch,1 serving,80,7g,2g,4g
Add 5 Lobster Bites & 5 Shrimp & D's Dippin Sauce,1 serving,590,46g,30g,15g
Add Al Forno Style,1 serving,530,44g,19g,17g
Add Applewood Smoked Bacon,1 serving,70,6g,0g,5g
Add Applewood Bacon,1 serving,210,18g,1g,11g
Add A Chicken Tender,1 serving,140,8g,8g,9g
Add American Cheese 8-Inch,1 serving,50,4.5g,1g,3g
Add A Crab Cake,1 serving,190,14g,6g,10g
Add 2 Bacon Strips,1 serving,70,5g,0g,5g
Add American Cheese 6-Inch,1 serving,50,4.5g,1g,3g
Adaptogen Elixir,1 bottle (1.59 oz),15,0g,4g,0g
Add American Cheese,1 serving,40,3.5g,1g,2g
Add A Scoop of Vanilla Ice Cream,1 serving,90,5g,10g,2g
Add American Cheese 4-Inch,1 serving,25,2.5g,1g,1g
Add 6 Fried Shrimp without Sauce,1 serving,200,11g,11g,14g
Add American Cheese 16-Inch,1 serving,100,9g,2g,5g
Add Bacon,1 serving,45,3.5g,0g,3g
Add Bleu Cheese,1 serving,210,22g,2g,1g
Add Bacon,1 serving,120,10g,1g,6g
Add Bacon Bits,1 serving,70,4.5g,1g,6g
Add Bacon (6 Slices) 16-Inch,1 serving,120,11g,0g,8g
Add Bacon,1 serving,110,9g,1g,8g
Add Avocado,1 serving,70,6g,4g,1g
Add Avocado Slices,1 serving,80,7g,4g,1g
Add Bacon,1 serving,90,8g,0g,5g
Add Bacon (3 Slices) 8-Inch,1 serving,60,5g,0g,4g
Add Avocado Slices,1 serving,56,5g,3g,1g
Add Bacon (2 Slices) 4-Inch,1 serving,40,3.5g,0g,3g
Add Avocado Dip,1 serving,70,6g,4g,1g
Add Avocado,1 serving,60,6g,3g,0g
Add Bacon,1 serving,80,5g,1g,6g
Add Bacon (4 Slices) 12-Inch,1 serving,80,7g,0g,5g
Add Bacon to Burger or Sandwich Family Feast,1 serving,400,33g,2g,24g
Add Bacon (2 Slices) 6-Inch,1 serving,40,3.5g,0g,3g
Add Bacon Bits,1 serving,460,33g,4g,37g
Add Bacon,1 serving,100,9g,0g,7g
Add Butter,1 serving,120,13g,0g,0g
Add Bologna 16-Inch,1 serving,690,57g,16g,24g
Add Capicola 16-Inch,1 serving,360,28g,0g,40g
Add Bologna 4-Inch,1 serving,170,14g,4g,6g
Add Cheddar Cheese 4-Inch,1 serving,30,2.5g,0g,2g
Add Cadi,1 serving,1140,22g,191g,38g
Add Burger Patty,1 serving,400,31g,0g,30g
Add Cheddar Cheese 6-Inch,1 serving,60,4.5g,1g,4g
Add Cheddar Cheese 16-Inch,1 serving,110,9g,1g,7g
Add Cheddar Cheese 12-Inch,1 serving,80,7g,1g,5g
Add Capicola 6-Inch,1 serving,140,11g,0g,15g
Add Capicola 8-Inch,1 serving,180,14g,0g,20g
Add Brown Rice - 3 oz,1 serving (3 oz),70,2g,12g,1g
Add Capicola 12-Inch,1 serving,270,21g,0g,30g
Add Bologna 6-Inch,1 serving,260,21g,6g,9g
Add Brisket - Ultimate Nachos,1 serving,260,17g,2g,24g
Add Bologna 8-Inch,1 serving,340,28g,8g,12g
Add Bologna 12-Inch,1 serving,520,43g,12g,18g
Add Caramelized Onion,1 serving,15,0g,3g,0g
Add Capicola 4-Inch,1 serving,90,7g,0g,10g
Add Double Bologna 16-Inch,1 serving,1380,113g,32g,49g
Add Chocolate Sauce 1 oz,1 serving (1 oz),150,11g,15g,1g
Add Cheese to Eggs,1 serving,900,73g,7g,53g
Add Chili - Hatch Queso with Chips,1 serving,110,6g,5g,8g
Add Cheddar Jack Cheese,1 serving,650,52g,5g,40g
Add Chicken to Any Salad,1 serving,160,6g,1g,26g
Add Cheese Sauce (3 fl),1 serving (3 oz),150,11g,7g,6g
Add Chili - Ultimate Nachos,1 serving,440,24g,21g,30g
Add Crispy Calabrian Shrimp,1 serving,190,11g,9g,15g
Add Cheese,1 serving,60,5g,2g,3g
Add Chicken - Ultimate Nachos,1 serving,120,4g,1g,21g
Add Curly Fries,1 serving,500,24g,62g,7g
Add Chicken Breast - Kids,1 serving,180,6g,0g,32g
Add Double Bologna 6-Inch,1 serving,520,43g,12g,18g
Add Cheese and Onions,1 serving,120,9g,3g,7g
Add Double Bologna 12-Inch,1 serving,1030,85g,24g,36g
Add Double Bologna 8-Inch,1 serving,690,57g,16g,24g
Add Double Bologna 4-Inch,1 serving,340,28g,8g,12g
Add Cheese to Garlic-Butter Broccoli (Cheese Only),1 serving,210,17g,1g,13g
Add Cheddar Cheese 8-Inch,1 serving,60,4.5g,1g,4g
Add Double Capicola 6-Inch,1 serving,270,21g,0g,30g
Add Double Capicola 8-Inch,1 serving,360,28g,0g,40g
Add Double Ham 6-Inch,1 serving,210,6g,12g,24g
Add Double Ham 12-Inch,1 serving,430,12g,24g,49g
Add Double Capicola 12-Inch,1 serving,550,43g,0g,61g
Add Double Pepperoni 4-Inch,1 serving,570,65g,0g,20g
Add Double Ham 4-Inch,1 serving,140,4g,8g,16g
Add Double Oven Roasted-Chicken 4-Inch,1 serving,120,2g,2g,22g
Add Double Capicola 16-Inch,1 serving,730,57g,0g,81g
Add Double Oven Roasted-Chicken 6-Inch,1 serving,180,3g,3g,33g
Add Double Capicola 4-Inch,1 serving,180,14g,0g,20g
Add Double Pepperoni 8-Inch,1 serving,1130,130g,0g,40g
Add Double Ham 8-Inch,1 serving,280,8g,16g,32g
Add Double Pepperoni 6-Inch,1 serving,850,97g,0g,30g
Add Double Oven Roasted-Chicken 8-Inch,1 serving,240,4g,4g,44g
Add Double Oven Roasted-Chicken 16-Inch,1 serving,480,8g,8g,88g
Add Double Ham 16-Inch,1 serving,570,16g,32g,65g
Add Double Pepperoni 16-Inch,1 serving,2270,259g,0g,81g
Add Double Oven Roasted-Chicken 12-Inch,1 serving,360,6g,6g,66g
Add Double Pepperoni 12-Inch,1 serving,1700,194g,0g,61g
Add Double Turkey 8-Inch,1 serving,200,4g,4g,36g
Add Feta,1 serving,80,6g,1g,4g
Add Double Turkey 6-Inch,1 serving,150,3g,3g,27g
Add Double Slow-Cooked Roast Beef 8-Inch,1 serving,200,6g,0g,40g
Add Double Slow-Cooked Roast Beef 4-Inch,1 serving,100,3g,0g,20g
Add Double Slow-Cooked Roast Beef 12-Inch,1 serving,300,9g,0g,61g
Add Double Salami 4-Inch,1 serving,470,51g,0g,20g
Add Double Salami 12-Inch,1 serving,1400,152g,0g,61g
Add Double Salami 16-Inch,1 serving,1860,202g,0g,81g
Add Fried Chicken (10 Servings),1 serving,1590,71g,88g,149g
Add Egg,1 serving,80,6g,0g,6g
Add Double Slow-Cooked Roast Beef 6-Inch,1 serving,150,4.5g,0g,30g
Add Double Salami 8-Inch,1 serving,930,101g,0g,40g
Add Double Salami 6-Inch,1 serving,700,76g,0g,30g
Add Double Slow-Cooked Roast Beef 16-Inch,1 serving,400,12g,0g,81g
Add Double Turkey 4-Inch,1 serving,100,2g,2g,18g
Add Double Turkey 16-Inch,1 serving,400,8g,8g,73g
Add Fresh Guacamole,1 serving,230,21g,14g,3g
Add Double Turkey 12-Inch,1 serving,300,6g,6g,55g
Add Fire Feta,1 serving,120,11g,3g,4g
Add Ham 16-Inch,1 serving,280,8g,16g,32g
Add Ham 12-Inch,1 serving,210,6g,12g,24g
Add Hatch Queso,1 serving,440,32g,16g,23g
Add Jalapeno-Cheddar Sausage,1 serving,250,21g,3g,14g
Add Guacamole - Hatch Queso with Chips,1 serving,80,7g,5g,1g
Add Grilled Chcken (10 Servings),1 serving,890,63g,4g,73g
Add Jalapeno Bacon,1 serving,80,7g,0g,5g
Add Guacamole,1 serving,50,4.5g,3g,1g
Add Mayonnaise,1 serving,200,22g,0g,0g
Add Ketchup,1 serving,35,0g,8g,0g
Add Lettuce,1 serving,5,0g,1g,0g
Add Ham 4-Inch,1 serving,70,2g,4g,8g
Add Malt (Small),1 serving,55,1g,12g,1g
Add Ham 8-Inch,1 serving,140,4g,8g,16g
Add Guacamole,1 serving,150,13g,10g,2g
Add Ham 6-Inch,1 serving,110,3g,6g,12g
Add Hummus,1 serving,100,6g,8g,3g
Add Guacamole - Ultimate Nachos,1 serving,150,13g,10g,2g
Add Lobster to A Salad,1 serving (113 g),240,20g,0g,17g
Add Malt (Large),1 serving,83,1g,18g,2g
Add On Sauteed Shrooms,1 serving,240,21g,7g,6g
Add on: Chicken,1 serving,270,5g,0g,55g
Add On Toowoomba Topping,1 serving,200,14g,3g,17g
Add on: Bacon,1 serving,70,5g,0g,5g
Add Oven Roasted-Chicken 4-Inch,1 serving,60,1g,1g,11g
Add on Roasted Garlic Topping (Large),1 serving,160,16g,2g,1g
Add on 3 Chicken Tenders,1 serving,480,25g,33g,29g
Add Onions and Mushrooms to Roasted Potatoes,1 serving,151,5g,23g,3g
Add on 6 Grilled Shrimp,1 serving,80,0g,1g,20g
Add Onions and Mushrooms to Roasted Potatoes with Caramelized Onions,1 serving,176,7g,26g,3g
Add on Burgundy Mushrooms,1 serving,180,13g,10g,5g
Add Onions and Mushrooms to Roasted Potatoes with Sauteed Mushrooms,1 serving,174,7g,24g,3g
Add on Grilled Chicken 5 oz,1 serving,330,18g,0g,39g
Add Oven Roasted-Chicken 8-Inch,1 serving,120,2g,2g,22g
Add on 4 oz Lobster Tail,1 serving (4 oz),360,24g,3g,30g
Add on Roasted Garlic Topping (Small),1 serving,80,8g,1g,0g
Add Oven Roasted-Chicken 12-Inch,1 serving,240,4g,4g,44g
Add Oven Roasted-Chicken 6-Inch,1 serving,90,1.5g,1g,16g
Add Oven Roasted-Chicken 16-Inch,1 serving,240,4g,4g,44g
Add Mustard,1 serving,15,0g,0g,0g
Add Patty,1 serving,430,33g,0g,29g
Add Pepper Jack Cheese 16-Inch,1 serving,100,9g,1g,4g
Add Pepper Jack Cheese 8-Inch,1 serving,50,4.5g,1g,2g
Add Pepper Jack Cheese 4-Inch,1 serving,25,2g,0g,1g
Add Provolone Cheese 6-Inch,1 serving,50,3.5g,1g,4g
Add Pepper Jack Cheese 6-Inch,1 serving,50,4.5g,1g,2g
Add Romaine Hearts Salad,1 side salad,270,22g,13g,8g
Add Pepper Jack Cheese 12-Inch,1 serving,80,7g,1g,3g
Add Salami 12-Inch,1 serving,700,76g,0g,30g
Add Provolone Cheese 8-Inch,1 serving,50,3.5g,1g,4g
Add Pepperoni 16-Inch,1 serving,1130,130g,0g,40g
Add Provolone Cheese 16-Inch,1 serving,100,7g,1g,7g
Add Salami 16-Inch,1 serving,930,101g,0g,40g
Add Ranch Dressing,1 serving,240,25g,2g,0g
Add on Burgundy Mushrooms,1 serving,180,13g,10g,5g
Add on 3 Chicken Tenders,1 serving,480,25g,33g,29g
Add on: Bacon,1 serving,70,5g,0g,5g
Add on Grilled Chicken 5 oz,1 serving,330,18g,0g,39g
Add Oven Roasted-Chicken 16-Inch,1 serving,240,4g,4g,44g
Add Onions and Mushrooms to Roasted Potatoes with Caramelized Onions,1 serving,176,7g,26g,3g
Add Oven Roasted-Chicken 8-Inch,1 serving,120,2g,2g,22g
Add on: Chicken,1 serving,270,5g,0g,55g
Add on 6 Grilled Shrimp,1 serving,80,0g,1g,20g
Add Onions and Mushrooms to Roasted Potatoes with Sauteed Mushrooms,1 serving,174,7g,24g,3g
Add Oven Roasted-Chicken 4-Inch,1 serving,60,1g,1g,11g
Add On Sauteed Shrooms,1 serving,240,21g,7g,6g
Add on 4 oz Lobster Tail,1 serving (4 oz),360,24g,3g,30g
Add Onions and Mushrooms to Roasted Potatoes,1 serving,151,5g,23g,3g
Add On Toowoomba Topping,1 serving,200,14g,3g,17g
Add on Roasted Garlic Topping (Large),1 serving,160,16g,2g,1g
Add on Roasted Garlic Topping (Small),1 serving,80,8g,1g,0g
Add Provolone Cheese 16-Inch,1 serving,100,7g,1g,7g
Add Patty,1 serving,430,33g,0g,29g
Add Provolone Cheese 6-Inch,1 serving,50,3.5g,1g,4g
Add Provolone Cheese 8-Inch,1 serving,50,3.5g,1g,4g
Add Provolone Cheese 12-Inch,1 serving,80,5g,1g,5g
Add Romaine Hearts Salad,1 side salad,270,22g,13g,8g
Add Ranch Dressing,1 serving,240,25g,2g,0g
Add Salami 16-Inch,1 serving,930,101g,0g,40g
Add Pepper Jack Cheese 12-Inch,1 serving,80,7g,1g,3g
Add Pepper Jack Cheese 16-Inch,1 serving,100,9g,1g,4g
Add Pepperoni 12-Inch,1 serving,850,97g,0g,30g
Add Pepper Jack Cheese 6-Inch,1 serving,50,4.5g,1g,2g
Add Pepperoni 6-Inch,1 serving,430,49g,0g,15g
Add Pepperoni 16-Inch,1 serving,1130,130g,0g,40g
Add Pepper Jack Cheese 8-Inch,1 serving,50,4.5g,1g,2g
Add Provolone Cheese 4-Inch,1 serving,25,2g,0g,2g
Add Pepper Jack Cheese 4-Inch,1 serving,25,2g,0g,1g
Add Pepperoni 4-Inch,1 serving,280,32g,0g,10g
Add Pepperoni 8-Inch,1 serving,570,65g,0g,20g
Add Salami 12-Inch,1 serving,700,76g,0g,30g
Add Salami 4-Inch,1 serving,230,25g,0g,10g
Add Side White Cheddar Mac & Cheese,1 serving,270,16g,22g,10g
Add Signature Sauce - 2 fl oz,1 serving (2 oz),60,0g,2g,0g
Add Shrimp to Any Salad,1 serving,90,3g,0g,16g
Add Salami 8-Inch,1 serving,470,51g,0g,20g
Add Shrimp - Kids,1 serving,120,4.5g,1g,19g
Add Sauteed Mushrooms,1 serving,60,4.5g,3g,1g
Add Salmon to Any Salad,1 serving,250,15g,0g,28g
Add Shrimp,1 serving,60,2g,1g,11g
Add Signature Sauce - 8 fl oz,1 serving (8 oz),260,0g,9g,0g
Add Seared Shrimp - Full Order,1 serving,60,2g,1g,11g
Add Seared Shrimp - Half Order,1 serving,30,1g,0g,6g
Add Salami 4-Inch,1 serving,230,25g,0g,10g
Add Salami 8-Inch,1 serving,470,51g,0g,20g
Add Seared Shrimp - Full Order,1 serving,60,2g,1g,11g
Add Shrimp to Any Salad,1 serving,90,3g,0g,16g
